steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0133,0.0079,1.0237,0.0017,0.0253,0.0393,0.0045,"Okay, so I was really trying to focus on parallel parking, but the car just kept swerving! It was kind of terrifying, honestly. My instructor kept saying to breathe and stay calm, but I felt like I was going to crash into the curb. I definitely messed up a little, but I’m trying to learn from it, you know?"
baseline,1,0.8128,0.0149,0.0077,0.0009,0.0128,0.1461,0.0087,"Ugh, seriously? I just told Mark I was going to see The Static tonight, and he looked at me like I’d lost my mind. He said he saw me at that little coffee shop down the street, the one with the ridiculously loud vinyl. Honestly, it’s a bit frustrating, you know? I just wanted to go dance, but I guess I’ll have to explain myself later."
baseline,2,0.2298,0.0052,0.0156,0.0043,0.0068,0.7716,0.0031,"Ugh, honestly, I just felt so hurt today. We had this really intense conversation about how he talks to me, and it just felt like he wasn’t really listening to what I was saying. I just wanted him to understand how important it is to me to feel respected and valued in this relationship, you know? It’s been weighing on me all day, and I’m feeling really frustrated and a little lost."
baseline,3,0.0674,0.005,0.087,0.0053,0.0103,0.3276,0.0133,"Ugh, he just said my expectations are really high. It’s a little unsettling, honestly, because I’ve been working so hard to build a really solid foundation with him. I just feel a little… unsure about where we’re going, you know? It’s making me think about what I really want, and it’s a bit of a conversation to have."
baseline,4,0.1804,0.0799,0.0622,0.0261,0.0297,0.1695,0.7717,"Okay, well, it’s a bit of a shock, honestly. Mr. Harrison just said I’m the quietest person in the room, and I just… froze. I didn’t even look at him, which was weird, I mean, I’m usually trying to participate. It felt really awkward, like I was completely invisible. I just wanted to disappear, I guess!"
baseline,5,0.0283,0.0035,0.0652,0.0053,0.0752,0.5011,0.0095,"Oh my gosh, that’s… a lot. My heart just sank a little bit when I heard he was staying the night. I’ve been trying to really just relax and recharge, and it’s a little jarring to suddenly feel this exposed. I just need a few minutes to process it all, honestly."
baseline,6,0.3829,0.0215,0.0217,0.0026,0.0101,0.6485,0.0051,"Ugh, it’s really frustrating when someone does something that hurts my feelings. Honestly, it felt pretty awful when they said those words to me, and it completely shifted my mood. I just wanted to be able to calmly process it all, you know? It’s a tough feeling to deal with, to be honest."
baseline,7,0.7946,0.0099,0.004,0.002,0.0057,0.3195,0.0071,"Ugh, honestly, it’s a little frustrating when someone asks for help when they’ve clearly had more time to do it themselves. I felt a bit taken aback, you know? I really wanted to help, but it just felt a little disrespectful, like they weren’t valuing my effort. I just politely explained my situation and offered to do a little bit of the work myself, hoping to clear the air a bit."
baseline,8,0.0283,0.0134,0.2672,0.0033,0.031,0.745,0.0111,"Okay, wow. It’s still really hard to process. I just found out my friend, Liam, ended his late-stage pregnancy and… well, he disposed of the remains in a manhole. Honestly, it just hit me like a punch to the gut. I’m trying to wrap my head around the sheer horror of it, and the thought of someone doing that… it’s just devastating. I feel completely numb, like everything I thought I knew about him is shattered."
baseline,9,0.0209,0.0012,0.0061,0.0011,1.0338,0.0166,0.0023,"Ugh, I was completely lost in the show – a really intense sci-fi drama – when my little brother, Leo, burst into the living room with a plate of cookies. He was just happily munching away, and honestly, it was a little disruptive. I tried to focus on the screen, but he kept reaching for the kitchen counter, and I just sighed a little. It was such a silly moment, really."
